,Average Rain,Avg Temp,dengue
2012-01-02,1.15,27.578125000000004,74.0
2012-01-09,2.1347926267281108,26.764285714285712,66.0
2012-01-16,3.0516129032258057,26.814285714285717,61.0
2012-01-23,14.304147465437788,26.83660714285714,52.0
2012-01-30,0.9504608294930875,27.021428571428572,85.0
2012-02-06,8.036175115207374,26.530357142857138,87.0
2012-02-13,0.942626728110599,27.45446428571429,65.0
2012-02-20,5.838940092165902,26.845535714285713,51.0
2012-02-27,4.484331797235023,27.700892857142858,55.0
2012-03-05,8.197695852534563,26.96428571428572,46.0
2012-03-12,7.48271889400922,27.097321428571433,64.0
2012-03-19,11.011059907834104,26.94464285714286,73.0
2012-03-26,6.920246279368434,27.75357142857143,48.0
2012-04-02,15.10965097831835,27.295535714285716,52.0
2012-04-09,13.29063231850117,27.24642857142857,82.0
2012-04-16,10.730913348946133,27.56607142857143,77.0
2012-04-23,7.764637002341921,27.864464285714284,64.0
2012-04-30,3.649648711943794,28.48392857142857,88.0
2012-05-07,11.852764976958523,27.61339285714286,97.0
2012-05-14,6.614746543778803,28.520535714285717,80.0
2012-05-21,9.194700460829493,28.66696428571429,80.0
2012-05-28,8.406682027649769,28.408928571428568,81.0
2012-06-04,4.8032258064516125,28.34821428571429,100.0
2012-06-11,7.4548387096774205,28.711607142857144,88.0
2012-06-18,0.0,29.50535714285714,129.0
2012-06-25,1.3534562211981573,28.9875,151.0
2012-07-02,5.166820276497695,28.258928571428573,140.0
2012-07-09,15.053686635944702,27.321428571428577,132.0
2012-07-16,4.346313364055299,27.332142857142856,125.0
2012-07-23,3.871658986175114,27.804464285714285,110.0
2012-07-30,0.8792626728110601,28.6875,94.0
2012-08-06,8.114055299539173,28.02857142857142,127.0
2012-08-13,0.06428571428571428,28.635714285714283,115.0
2012-08-20,3.203456221198157,28.341071428571432,92.0
2012-08-27,5.287557603686637,27.701785714285716,102.0
2012-09-03,4.399769585253456,27.613392857142856,76.0
2012-09-10,4.210138248847925,27.22142857142857,74.0
2012-09-17,0.6972350230414747,28.30892857142857,72.0
2012-09-24,3.165898617511522,28.392857142857142,100.0
2012-10-01,7.994968648485304,28.034821428571433,104.0
2012-10-08,3.3861826697892283,28.235714285714284,123.0
2012-10-15,4.47423887587822,27.75714285714286,105.0
2012-10-22,14.903747072599533,26.795535714285716,84.0
2012-10-29,0.7765807962529271,28.87142857142857,104.0
2012-11-05,12.60500868776913,26.808035714285715,100.0
2012-11-12,9.520276497695853,27.197321428571428,88.0
2012-11-19,14.116820276497696,27.175892857142863,100.0
2012-11-26,10.252995391705072,27.363392857142856,80.0
2012-12-03,11.13110599078341,27.258928571428573,78.0
2012-12-10,9.874654377880184,27.19464285714286,105.0
2012-12-17,16.508064516129036,26.27321428571429,94.0
2012-12-24,9.324193548387099,26.65178571428572,112.0
2012-12-31,12.289861751152076,26.568749999999998,
2013-01-07,4.45952380952381,27.58125,134.0
2013-01-14,8.780000000000001,27.162499999999998,205.0
2013-01-21,14.479523809523815,26.35535714285714,219.0
2013-01-28,0.8704761904761904,27.17589285714286,267.0
2013-02-04,5.316679101748226,27.439285714285717,293.0
2013-02-11,24.266904396167078,25.80279761904762,322.0
2013-02-18,13.714472240509105,25.85625,247.0
2013-02-25,4.350566893424037,27.291964285714283,296.0
2013-03-04,7.977097505668936,27.837500000000002,249.0
2013-03-11,6.2717431058444895,27.775000000000002,273.0
2013-03-18,5.910430839002268,28.03125,308.0
2013-03-25,5.0462585034013605,28.60625,307.0
2013-04-01,9.328344671201814,28.536607142857147,316.0
2013-04-08,7.930158730158728,28.33660714285714,406.0
2013-04-15,2.870748299319728,28.341964285714287,492.0
2013-04-22,9.03356009070295,28.571428571428573,509.0
2013-04-29,8.859637188208618,27.900000000000002,538.0
2013-05-06,5.899773242630385,28.440178571428568,547.0
2013-05-13,6.534986467705359,28.536309523809525,558.0
2013-05-20,5.714512471655328,28.83529761904762,611.0
2013-05-27,4.4977324263038545,28.27351190476191,640.0
2013-06-03,4.581179138321995,28.061904761904763,746.0
2013-06-10,10.382312925170067,28.10446428571429,814.0
2013-06-17,0.7852607709750568,29.875,809.0
2013-06-24,0.0,30.217857142857138,842.0
2013-07-01,4.516780045351473,28.553571428571427,806.0
2013-07-08,5.50952380952381,28.214285714285715,678.0
2013-07-15,5.994927218199108,27.392857142857142,541.0
2013-07-22,2.13764172335601,28.05982142857143,390.0
2013-07-29,3.166439909297053,28.001785714285717,306.0
2013-08-05,8.199092970521543,27.848214285714285,289.0
2013-08-12,8.972562358276646,27.542857142857144,256.0
2013-08-19,3.0281179138322,27.882797619047615,378.0
2013-08-26,3.172108843537415,28.463392857142857,341.0
2013-09-02,4.651503181917929,27.90892857142857,386.0
2013-09-09,21.780142781597046,26.347321428571433,452.0
2013-09-16,6.798284690220172,27.485714285714288,339.0
2013-09-23,0.7553070937523609,28.75982142857143,376.0
2013-09-30,11.46502253783586,27.890178571428574,406.0
2013-10-07,5.243861902243712,27.967857142857138,441.0
2013-10-14,12.036707965047471,27.973333333333333,438.0
2013-10-21,12.08587431693989,27.941964285714285,374.0
2013-10-28,6.0130405932864965,27.473333333333333,495.0
2013-11-04,11.866619828259171,27.136190476190475,458.0
2013-11-11,12.67377049180328,27.473333333333336,402.0
2013-11-18,9.15123731459797,26.77714285714286,444.0
2013-11-25,9.579976183860598,27.59142857142857,365.0
2013-12-02,13.876820016142048,26.75809523809524,372.0
2013-12-09,14.854479418886203,26.080000000000002,347.0
2013-12-16,6.809927360774818,27.459047619047617,381.0
