Epidemiology Wk,dengue
1,207
2,245
3,215
4,222
5,182
6,138
7,235
8,182
9,157
10,134
11,109
12,97
13,100
14,108
15,125
16,135
17,157
18,194
19,287
20,309
21,378
22,401
23,400
24,467
25,433
26,497
27,593
28,664
29,647
30,605
31,600
32,523
33,524
34,476
35,414
36,330
37,318
38,301
39,261
40,246
41,228
42,239
43,242
44,308
45,322
46,373
47,334
