Epidemiology Wk,dengue
1,437
2,479
3,401
4,336
5,234
6,274
7,369
8,194
9,187
10,210
11,225
12,210
13,225
14,240
15,245
16,235
17,282
18,251
19,261
20,291
21,428
22,456
23,459
24,506
25,551
26,671
27,891
28,819
29,746
30,634
31,484
32,545
33,438
34,418
35,367
36,339
37,362
38,397
39,345
40,339
41,278
42,297
43,213
44,186
45,169
46,158
47,149
48,162
49,212
50,177
51,198
52,188
53,158
