Epidemiology Wk,dengue
1,547
2,620
3,637
4,624
5,525
6,419
7,590
8,511
9,411
10,396
11,373
12,306
13,377
14,291
15,224
16,229
17,242
18,180
19,216
20,212
21,198
22,216
23,158
24,193
25,215
26,234
27,247
28,223
29,266
30,222
31,210
32,198
33,222
34,274
35,311
36,242
37,175
38,174
39,138
40,125
41,94
42,108
43,84
44,86
45,84
46,72
47,75
48,86
49,59
50,81
51,72
52,64
